

[kever|log]: 2020-06-26 20:10:15 | load file...
[kever|log]: 2020-06-26 20:10:15 | load file done
[kever|log]: 2020-06-26 20:10:15 | server listening http://127.0.0.1:9000
[kever|log]: 2020-06-26 20:10:15 | server is running...

[kever|log]: 2020-06-26 20:13:43 | load file...
[kever|log]: 2020-06-26 20:13:44 | load file done
[kever|log]: 2020-06-26 20:13:44 | server listening http://127.0.0.1:9000
[kever|log]: 2020-06-26 20:13:44 | server is running...

[kever|log]: 2020-06-26 20:15:54 | load file...
[kever|log]: 2020-06-26 20:15:54 | load file done
[kever|log]: 2020-06-26 20:15:54 | server listening http://127.0.0.1:9000
[kever|log]: 2020-06-26 20:15:54 | server is running...

[kever|log]: 2020-06-26 20:18:47 | load file...
[kever|log]: 2020-06-26 20:18:47 | load file done
[kever|log]: 2020-06-26 20:18:47 | server listening http://127.0.0.1:9000
[kever|log]: 2020-06-26 20:18:47 | server is running...

[kever|log]: 2020-06-26 20:20:09 | load file...
[kever|error]: 2020-06-26 20:20:09 | SyntaxError: Cannot use import statement outside a module
[kever|error]: 2020-06-26 20:20:09 | SyntaxError: Cannot use import statement outside a module
[kever|error]: 2020-06-26 20:20:09 | SyntaxError: Cannot use import statement outside a module
[kever|log]: 2020-06-26 20:20:09 | load file done
[kever|log]: 2020-06-26 20:20:09 | server listening http://127.0.0.1:9000
[kever|log]: 2020-06-26 20:20:09 | server is running...

[kever|log]: 2020-06-26 20:35:04 | load file...
[kever|error]: 2020-06-26 20:35:04 | SyntaxError: Cannot use import statement outside a module
[kever|error]: 2020-06-26 20:35:04 | SyntaxError: Cannot use import statement outside a module
[kever|error]: 2020-06-26 20:35:04 | SyntaxError: Cannot use import statement outside a module
[kever|log]: 2020-06-26 20:35:04 | load file done
[kever|log]: 2020-06-26 20:35:04 | server listening http://127.0.0.1:9000
[kever|log]: 2020-06-26 20:35:04 | server is running...

[kever|log]: 2020-06-26 20:35:39 | load file...
[kever|error]: 2020-06-26 20:35:39 | SyntaxError: Cannot use import statement outside a module
[kever|error]: 2020-06-26 20:35:39 | SyntaxError: Cannot use import statement outside a module
[kever|error]: 2020-06-26 20:35:39 | SyntaxError: Cannot use import statement outside a module
[kever|log]: 2020-06-26 20:35:39 | load file done
[kever|log]: 2020-06-26 20:35:39 | server listening http://127.0.0.1:9000
[kever|log]: 2020-06-26 20:35:39 | server is running...

[kever|log]: 2020-06-26 20:35:56 | load file...
[kever|error]: 2020-06-26 20:35:56 | SyntaxError: Cannot use import statement outside a module
[kever|error]: 2020-06-26 20:35:56 | SyntaxError: Cannot use import statement outside a module
[kever|error]: 2020-06-26 20:35:56 | SyntaxError: Cannot use import statement outside a module
[kever|log]: 2020-06-26 20:35:56 | load file done
[kever|log]: 2020-06-26 20:35:56 | server listening http://127.0.0.1:9000
[kever|log]: 2020-06-26 20:35:56 | server is running...

[kever|log]: 2020-06-26 20:36:19 | load file...
[kever|error]: 2020-06-26 20:36:19 | SyntaxError: Cannot use import statement outside a module
[kever|error]: 2020-06-26 20:36:19 | SyntaxError: Cannot use import statement outside a module
[kever|error]: 2020-06-26 20:36:19 | SyntaxError: Cannot use import statement outside a module
[kever|log]: 2020-06-26 20:36:19 | load file done
[kever|log]: 2020-06-26 20:36:19 | server listening http://127.0.0.1:9000
[kever|log]: 2020-06-26 20:36:19 | server is running...

[kever|log]: 2020-06-26 20:37:34 | load file...
[kever|error]: 2020-06-26 20:37:34 | ReferenceError: readFile is not defined
[kever|log]: 2020-06-26 20:37:34 | load file done
[kever|log]: 2020-06-26 20:37:34 | server listening http://127.0.0.1:9000
[kever|log]: 2020-06-26 20:37:34 | server is running...

[kever|log]: 2020-06-26 20:37:49 | load file...
[kever|error]: 2020-06-26 20:37:49 | SyntaxError: Cannot use import statement outside a module
[kever|error]: 2020-06-26 20:37:49 | SyntaxError: Cannot use import statement outside a module
[kever|error]: 2020-06-26 20:37:49 | SyntaxError: Cannot use import statement outside a module
[kever|log]: 2020-06-26 20:37:49 | load file done
[kever|log]: 2020-06-26 20:37:49 | server listening http://127.0.0.1:9000
[kever|log]: 2020-06-26 20:37:49 | server is running...

[kever|log]: 2020-06-26 20:37:59 | load file...
[kever|error]: 2020-06-26 20:37:59 | SyntaxError: Cannot use import statement outside a module
[kever|error]: 2020-06-26 20:37:59 | SyntaxError: Cannot use import statement outside a module
[kever|error]: 2020-06-26 20:37:59 | SyntaxError: Cannot use import statement outside a module
[kever|log]: 2020-06-26 20:37:59 | load file done
[kever|log]: 2020-06-26 20:37:59 | server listening http://127.0.0.1:9000
[kever|log]: 2020-06-26 20:37:59 | server is running...

[kever|log]: 2020-06-26 20:38:42 | load file...
[kever|error]: 2020-06-26 20:38:42 | SyntaxError: Cannot use import statement outside a module
[kever|error]: 2020-06-26 20:38:42 | SyntaxError: Cannot use import statement outside a module
[kever|error]: 2020-06-26 20:38:42 | SyntaxError: Cannot use import statement outside a module
[kever|log]: 2020-06-26 20:38:42 | load file done
[kever|log]: 2020-06-26 20:38:42 | server listening http://127.0.0.1:9000
[kever|log]: 2020-06-26 20:38:42 | server is running...

[kever|log]: 2020-06-26 20:38:54 | load file...
[kever|error]: 2020-06-26 20:38:54 | SyntaxError: Cannot use import statement outside a module
[kever|error]: 2020-06-26 20:38:54 | SyntaxError: Cannot use import statement outside a module
[kever|error]: 2020-06-26 20:38:54 | SyntaxError: Cannot use import statement outside a module
[kever|log]: 2020-06-26 20:38:54 | load file done
[kever|log]: 2020-06-26 20:38:54 | server listening http://127.0.0.1:9000
[kever|log]: 2020-06-26 20:38:54 | server is running...

[kever|log]: 2020-06-26 20:39:15 | load file...
[kever|error]: 2020-06-26 20:39:15 | SyntaxError: Cannot use import statement outside a module
[kever|error]: 2020-06-26 20:39:15 | SyntaxError: Cannot use import statement outside a module
[kever|error]: 2020-06-26 20:39:15 | SyntaxError: Cannot use import statement outside a module
[kever|log]: 2020-06-26 20:39:15 | load file done
[kever|log]: 2020-06-26 20:39:15 | server listening http://127.0.0.1:9000
[kever|log]: 2020-06-26 20:39:15 | server is running...

[kever|log]: 2020-06-26 20:39:47 | load file...
[kever|error]: 2020-06-26 20:39:47 | SyntaxError: Cannot use import statement outside a module
[kever|error]: 2020-06-26 20:39:47 | SyntaxError: Cannot use import statement outside a module
[kever|error]: 2020-06-26 20:39:47 | SyntaxError: Cannot use import statement outside a module
[kever|log]: 2020-06-26 20:39:47 | load file done
[kever|log]: 2020-06-26 20:39:47 | server listening http://127.0.0.1:9000
[kever|log]: 2020-06-26 20:39:47 | server is running...

[kever|log]: 2020-06-26 20:40:19 | load file...
[kever|error]: 2020-06-26 20:40:19 | SyntaxError: Cannot use import statement outside a module
[kever|error]: 2020-06-26 20:40:19 | SyntaxError: Cannot use import statement outside a module
[kever|error]: 2020-06-26 20:40:19 | SyntaxError: Cannot use import statement outside a module
[kever|log]: 2020-06-26 20:40:19 | load file done
[kever|log]: 2020-06-26 20:40:19 | server listening http://127.0.0.1:9000
[kever|log]: 2020-06-26 20:40:19 | server is running...

[kever|log]: 2020-06-26 20:40:29 | load file...
[kever|error]: 2020-06-26 20:40:29 | SyntaxError: Cannot use import statement outside a module
[kever|error]: 2020-06-26 20:40:29 | SyntaxError: Cannot use import statement outside a module
[kever|error]: 2020-06-26 20:40:29 | SyntaxError: Cannot use import statement outside a module
[kever|log]: 2020-06-26 20:40:29 | load file done
[kever|log]: 2020-06-26 20:40:29 | server listening http://127.0.0.1:9000
[kever|log]: 2020-06-26 20:40:29 | server is running...

[kever|log]: 2020-06-26 20:41:35 | load file...
[kever|error]: 2020-06-26 20:41:35 | TypeError: Assignment to constant variable.
[kever|log]: 2020-06-26 20:41:35 | load file done
[kever|log]: 2020-06-26 20:41:35 | server listening http://127.0.0.1:9000
[kever|log]: 2020-06-26 20:41:35 | server is running...

[kever|log]: 2020-06-26 20:42:04 | load file...
[kever|error]: 2020-06-26 20:42:04 | TypeError: Assignment to constant variable.
[kever|log]: 2020-06-26 20:42:04 | load file done
[kever|log]: 2020-06-26 20:42:04 | server listening http://127.0.0.1:9000
[kever|log]: 2020-06-26 20:42:04 | server is running...

[kever|log]: 2020-06-26 20:42:32 | load file...
[kever|error]: 2020-06-26 20:42:32 | TypeError: Assignment to constant variable.
[kever|log]: 2020-06-26 20:42:32 | load file done
[kever|log]: 2020-06-26 20:42:32 | server listening http://127.0.0.1:9000
[kever|log]: 2020-06-26 20:42:32 | server is running...

[kever|log]: 2020-06-26 20:42:39 | load file...
[kever|error]: 2020-06-26 20:42:39 | TypeError: Assignment to constant variable.
[kever|log]: 2020-06-26 20:42:39 | load file done
[kever|log]: 2020-06-26 20:42:39 | server listening http://127.0.0.1:9000
[kever|log]: 2020-06-26 20:42:39 | server is running...

[kever|log]: 2020-06-26 20:42:58 | load file...
[kever|error]: 2020-06-26 20:42:58 | TypeError: Assignment to constant variable.
[kever|log]: 2020-06-26 20:42:58 | load file done
[kever|log]: 2020-06-26 20:42:58 | server listening http://127.0.0.1:9000
[kever|log]: 2020-06-26 20:42:58 | server is running...

[kever|log]: 2020-06-26 20:43:28 | load file...
[kever|log]: 2020-06-26 20:43:28 | load file done
[kever|log]: 2020-06-26 20:43:28 | server listening http://127.0.0.1:9000
[kever|log]: 2020-06-26 20:43:28 | server is running...

[kever|log]: 2020-06-26 20:43:37 | load file...
[kever|log]: 2020-06-26 20:43:37 | load file done
[kever|log]: 2020-06-26 20:43:37 | server listening http://127.0.0.1:9000
[kever|log]: 2020-06-26 20:43:37 | server is running...

[kever|log]: 2020-06-26 20:52:07 | load file...
[kever|log]: 2020-06-26 20:52:07 | load file done
[kever|log]: 2020-06-26 20:52:07 | server listening http://127.0.0.1:9000
[kever|log]: 2020-06-26 20:52:07 | server is running...

[kever|log]: 2020-06-26 20:52:34 | load file...
[kever|log]: 2020-06-26 20:52:34 | load file done
[kever|log]: 2020-06-26 20:52:34 | server listening http://127.0.0.1:9000
[kever|log]: 2020-06-26 20:52:34 | server is running...

[kever|log]: 2020-06-26 20:52:47 | load file...
[kever|log]: 2020-06-26 20:52:47 | load file done
[kever|log]: 2020-06-26 20:52:47 | server listening http://127.0.0.1:9000
[kever|log]: 2020-06-26 20:52:47 | server is running...

[kever|log]: 2020-06-26 20:54:34 | load file...
[kever|log]: 2020-06-26 20:54:35 | load file done
[kever|log]: 2020-06-26 20:54:35 | server listening http://127.0.0.1:9000
[kever|log]: 2020-06-26 20:54:35 | server is running...

[kever|log]: 2020-06-26 20:55:15 | load file...
[kever|log]: 2020-06-26 20:55:15 | load file done
[kever|log]: 2020-06-26 20:55:15 | server listening http://127.0.0.1:9000
[kever|log]: 2020-06-26 20:55:15 | server is running...

[kever|log]: 2020-06-26 20:55:31 | load file...
[kever|log]: 2020-06-26 20:55:31 | load file done
[kever|log]: 2020-06-26 20:55:31 | server listening http://127.0.0.1:9000
[kever|log]: 2020-06-26 20:55:31 | server is running...

[kever|log]: 2020-06-26 20:55:37 | load file...
[kever|log]: 2020-06-26 20:55:37 | load file done
[kever|log]: 2020-06-26 20:55:37 | server listening http://127.0.0.1:9000
[kever|log]: 2020-06-26 20:55:37 | server is running...
